"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3221","Petaling",2015,5,"SELANGOR","Bl_Pju_6A_Tmn_Kayu_Ara_Indah",60,53,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3222","Petaling",2015,9,"SELANGOR","Taman_Lestari_Putra_5",117,84,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3223","Petaling",2015,9,"SELANGOR","_Bl_Pju_6_Bu_1__Teres_A_:_Jln_1,1,_1,1a,_1,9,1,15",114,82,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3224","Petaling",2015,3,"SELANGOR","Ss_18,1",110,50,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3225","Petaling",2015,5,"SELANGOR","Seksyen_20_Kuarters_Polis_Blok_5_,_Blok_12",64,52,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3226","Petaling",2015,3,"SELANGOR","Seksyen_13_Teres_B",60,48,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3227","Petaling",2015,7,"SELANGOR","Seksyen_2_UITM_:_Kolej_Meranti",179,37,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3228","Petaling",2015,9,"SELANGOR","Seksyen_U12__Desa_Alam_Teres_C_:_Jln_U12,9a,U12,9F_,_U12,10,U12,12",117,78,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3229","Petaling",2015,9,"SELANGOR","Taman_Lestari_Putra_7",60,78,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3230","Petaling",2015,9,"SELANGOR","Seksyen_10__Teres_:_Jln_10,1,10,14",84,76,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3231","Petaling",2015,7,"SELANGOR","Kt_Pju_3_Trpoicana_Indah",168,37,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3232","Petaling",2015,10,"SELANGOR","Seksyen_7_Teres_H_:_Jln_7,52_,7,62",23,34,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3233","Petaling",2015,9,"SELANGOR","Du_Ss_2_1",115,76,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3234","Petaling",2015,3,"SELANGOR","Taman_Kinrara_5__Teres_Taman_Mawar_",103,46,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3235","Petaling",2015,3,"SELANGOR","Kdpju_5_Seksyen_11",135,45,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
