Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48648,2008,5,29,16.4,1.6,na,na
48648,2008,5,30,16.2,1.6,na,na
48648,2008,5,31,0.0,1.9,na,na
48648,2008,6,1,6.8,1.5,na,na
48648,2008,6,2,1.8,1.4,na,na
48648,2008,6,3,23.6,1.7,na,na
48648,2008,6,4,81.2,1.4,na,na
48648,2008,6,5,19.6,1.4,na,na
48648,2008,6,6,0.0,1.6,na,na
48648,2008,6,7,25.8,1.6,na,na
48648,2008,6,8,2.0,1.9,na,na
48648,2008,6,9,7.8,1.9,na,na
48648,2008,6,10,28.8,1.5,na,na
48648,2008,6,11,0.0,1.9,na,na
48648,2008,6,12,0.0,1.9,na,na
48648,2008,6,13,0.0,2.0,na,na
48648,2008,6,14,0.0,2.1,na,na
48648,2008,6,15,0.0,1.8,na,na
48648,2008,6,16,4.0,1.3,na,na
48648,2008,6,17,0.0,2.0,na,na
48648,2008,6,18,2.6,1.7,na,na
48648,2008,6,19,3.0,1.8,na,na
48648,2008,6,20,0.0,1.5,na,na
48648,2008,6,21,24.2,1.3,na,na
48648,2008,6,22,16.8,1.4,na,na
48648,2008,6,23,0.0,1.7,na,na
48648,2008,6,24,0.0,1.8,na,na
48648,2008,6,25,3.2,2.0,na,na
48648,2008,6,26,1.6,2.3,na,na
48648,2008,6,27,0.0,1.8,na,na
48648,2008,6,28,-33.3,1.7,na,na
48648,2008,6,29,5.2,2.0,na,na
48648,2008,6,30,40.8,1.4,na,na
48648,2008,7,1,0.0,2.1,na,na
48648,2008,7,2,0.0,2.0,na,na
48648,2008,7,3,1.4,1.7,na,na
48648,2008,7,4,0.0,2.3,na,na
48648,2008,7,5,0.0,2.2,na,na
48648,2008,7,6,0.0,2.2,na,na
48648,2008,7,7,31.6,2.2,na,na
48648,2008,7,8,0.8,2.1,na,na
48648,2008,7,9,-33.3,2.2,na,na
48648,2008,7,10,5.6,2.1,na,na
48648,2008,7,11,0.0,1.5,na,na
48648,2008,7,12,0.0,2.1,na,na
