JUMLAH ," 5 ,345,454"
GOMBAK ,"668,694"
KLANG ,"842,146"
KUALA LANGAT ,"220,214"
KUALA SELANGOR ,"205,257"
PETALING ," 1 ,765,495"
SABAK BERNAM ,"103,709"
SEPANG ,"207,354"
ULU LANGAT ,"1,138,198"
ULU SELANGOR ,"194,387"
